version,role_class,role,kind,physical_records_count,decoded_record_bytes,reconstructed_canonical_bytes,population,snapshot,provenance,status
1,FileState,FileState,FULL,1,107,106,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,directory_map_leaf,directory_map_leaf,FULL,132,638736,638604,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,extent_leaf,extent_leaf,FULL,4,500,496,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,inode_record,inode_record,FULL,123,12177,12054,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,inode_table_leaf,inode_table_leaf,DELTA,71,33432,411252,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,inode_table_leaf,inode_table_leaf,FULL,77,446345,446268,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,mixed_roles,FileState,FULL,75926,8124082,8048156,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,mixed_roles,directory_map_branch,FULL,406,160862,160456,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,mixed_roles,directory_map_leaf,FULL,13891,10615894,10602003,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,mixed_roles,directory_state,FULL,13647,1351053,1337406,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,mixed_roles,extent_leaf,FULL,75923,7412535,7336612,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
1,mixed_roles,inode_record,FULL,89453,8855847,8766394,exact decoded composition; no compressed per-record attribution,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records/group role classes,derived
