outcome,target_count,canonical_bytes,unit,population,snapshot,status,provenance,null_reason,decision
no predecessor,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
missing required span (handoff defect),null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
no overlap,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
correspondence/descriptor limit,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
unavailable/inadmissible base,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
fetch/match/trial/instruction/memory budget,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
no useful raw delta,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
compressed mixed rejection,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
DELTA admitted,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
admission race selected existing representation,null,null,count and bytes,unique initially missing eligible validated payload targets after CAS filtering; mutually exclusive final target outcome,prospective diagnostic; unavailable retrospectively,unknown,existing physical receipts lack exhaustive target terminal outcome and byte weights,Overlapping event counters cannot reconstruct this exact population,"Distinguish missing coverage from base/matcher budgets, raw candidate quality, mixed rejection and race loss before selecting optimization"
