name,pagetype,pages_count,page_bytes,payload_bytes,unused_bytes,minimum_page_unused_bytes,minimum_page_payload_bytes,minimum_page_overhead_bytes,overhead_bytes,population,snapshot,provenance,status
branch_identity,leaf,1,4096,37,4048,4048,37,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
branch_names,leaf,1,4096,45,4040,4040,45,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
branches,leaf,1,4096,113,3972,3972,113,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
commits,internal,1,4096,680,3364,3364,680,52,52,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
commits,leaf,6,24576,20639,3282,308,3128,100,655,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
layer_identity,leaf,1,4096,53,4032,4032,53,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
layer_stack_names,leaf,1,4096,33,4052,4052,33,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
layer_stacks,leaf,1,4096,67,4018,4018,67,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
layers,leaf,1,4096,89,3996,3996,89,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
layers_child,leaf,1,4096,0,4088,4088,0,8,8,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
layers_genesis,leaf,1,4096,53,4032,4032,53,11,11,exclusive SQLite B-tree/page-type totals; overflow already included,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-snapshot-1/store.sqlite#dbstat,derived
