selected,kind,prefix_edges,physical_records_count,canonical_bytes,target_raw_bytes,header_bytes,frame_bytes,maximum_closure_raw_bytes,population,snapshot,provenance,status
0,NATIVE_FULL,0,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_FULL,1,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_FULL,2,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_FULL,3,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_FULL,4,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_PREFIX,0,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_PREFIX,1,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_PREFIX,2,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_PREFIX,3,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
0,NATIVE_PREFIX,4,0,0,0,0,0,null,physical native records by selected flag/representation/depth; not public read-call histogram,final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
